Pid,Pair,Sem_Sim,Aud_Sim
71,"angry growl,angry creature",2.80,3.60
72,"angry growl,angry girl",1.93,2.33
73,"angry growl,angry male",2.13,2.47
74,"angry growl,angry monster",2.67,3.80
75,"angry growl,angry roar",4.07,4.33
76,"angry growl,angry talk",2.73,2.57
77,"angry growl,angry voice",3.00,3.21
78,"angry growl,angry woman",1.80,2.00
79,"angry grunt,angry bark",2.93,2.93
80,"angry grunt,angry beast",2.00,2.36
81,"angry grunt,angry cat",1.47,1.79
82,"angry grunt,angry creature",2.07,2.57
83,"angry grunt,angry crowd",1.67,1.71
84,"angry grunt,angry dog",1.60,2.00
85,"angry grunt,angry girl",1.53,1.71
86,"angry grunt,angry growl",3.93,4.14
87,"angry grunt,angry grunt",5.00,5.00
88,"angry grunt,angry male",2.07,2.00
89,"angry grunt,angry monster",2.07,2.43
90,"angry grunt,angry roar",3.27,3.14
91,"angry grunt,angry talk",3.00,2.71
92,"angry grunt,angry vocal",3.60,3.57
93,"angry grunt,angry voice",3.40,3.36
94,"angry grunt,angry woman",2.00,2.36
95,"angry grunt,angry yell",3.20,2.64
96,"angry male,angry creature",2.60,2.86
97,"angry male,angry girl",2.93,3.07
98,"angry male,angry monster",2.33,1.93
99,"angry male,angry roar",2.00,2.07
100,"angry male,angry talk",2.20,2.79
101,"angry male,angry voice",2.13,3.00
102,"angry male,angry woman",3.33,3.64
103,"angry man,angry bark",1.67,1.64
104,"angry man,angry beast",2.47,2.29
105,"angry man,angry cat",1.73,1.64
106,"angry man,angry creature",2.47,2.36
107,"angry man,angry crowd",2.13,2.21
108,"angry man,angry dog",1.87,1.57
109,"angry man,angry girl",2.80,2.86
110,"angry man,angry growl",1.87,2.00
111,"angry man,angry grunt",1.87,2.14
112,"angry man,angry male",4.67,4.93
113,"angry man,angry monster",2.27,1.93
114,"angry man,angry roar",1.67,1.86
115,"angry man,angry talk",1.93,2.71
116,"angry man,angry vocal",2.13,3.21
117,"angry man,angry voice",1.93,3.00
118,"angry man,angry woman",3.80,3.64
119,"angry man,angry yell",2.20,3.29
120,"angry monster,angry creature",4.47,4.57
121,"angry monster,angry girl",2.13,2.07
122,"angry monster,angry roar",2.67,3.21
123,"angry monster,angry talk",1.67,2.07
124,"angry monster,angry voice",1.80,2.14
125,"angry monster,angry woman",2.27,2.14
126,"angry roar,angry creature",2.93,3.57
127,"angry roar,angry girl",1.80,1.79
128,"angry roar,angry talk",3.00,2.57
129,"angry roar,angry voice",3.53,3.14
130,"angry roar,angry woman",1.67,1.93
131,"angry scream,angry bark",2.80,2.57
132,"angry scream,angry beast",1.87,1.93
133,"angry scream,angry cat",1.47,1.93
134,"angry scream,angry creature",1.87,2.36
135,"angry scream,angry crowd",1.53,2.07
136,"angry scream,angry dog",1.53,1.29
137,"angry scream,angry girl",2.00,2.57
138,"angry scream,angry growl",3.07,3.14
139,"angry scream,angry grunt",3.13,3.00
140,"angry scream,angry male",1.93,2.14
141,"angry scream,angry man",1.87,2.50
142,"angry scream,angry monster",1.93,2.00
143,"angry scream,angry roar",3.40,3.43
144,"angry scream,angry talk",2.80,2.93
145,"angry scream,angry vocal",3.73,3.86
146,"angry scream,angry voice",4.00,4.00
147,"angry scream,angry woman",2.20,2.57
148,"angry scream,angry yell",4.73,4.57
149,"angry talk,angry woman",2.73,3.13
150,"angry vocal,angry creature",1.93,2.47
151,"angry vocal,angry girl",2.13,3.13
152,"angry vocal,angry growl",3.80,3.47
153,"angry vocal,angry male",2.07,2.80
154,"angry vocal,angry monster",1.80,2.13
155,"angry vocal,angry roar",3.87,3.53
156,"angry vocal,angry talk",4.07,4.53
157,"angry vocal,angry voice",4.80,4.80
158,"angry vocal,angry woman",2.27,3.07
159,"angry voice,angry talk",4.47,4.71
160,"angry voice,angry woman",2.47,3.21
161,"angry yell,angry bark",3.20,2.86
162,"angry yell,angry beast",1.93,2.21
163,"angry yell,angry creature",2.07,2.14
164,"angry yell,angry crowd",2.07,1.86
165,"angry yell,angry girl",2.13,2.50
166,"angry yell,angry growl",3.53,3.50
167,"angry yell,angry male",2.20,2.43
168,"angry yell,angry monster",2.00,2.21
169,"angry yell,angry roar",4.00,3.50
170,"angry yell,angry talk",3.87,3.53
171,"angry yell,angry vocal",4.13,4.43
172,"angry yell,angry voice",4.20,4.27
173,"angry yell,angry woman",2.47,2.93
174,"big bass,big drum",2.87,2.93
175,"big bass,big gong",2.40,2.47
176,"big bass,big percussion",2.87,2.53
177,"big bell,big bounce",1.33,1.36
178,"big bell,big door",1.53,1.36
179,"big bell,big wave",1.40,1.21
180,"big bounce,big door",1.13,1.21
181,"big crash,big bell",1.73,1.40
182,"big crash,big bounce",1.93,1.67
183,"big crash,big door",1.07,1.53
184,"big crash,big drone",1.20,1.27
185,"big crash,big explosion",4.27,3.53
186,"big crash,big machine",1.20,1.33
187,"big crash,big monster",1.20,1.13
188,"big crash,big noise",3.87,3.73
189,"big crash,big wave",2.27,1.93
190,"big dog,big bell",1.27,1.33
191,"big dog,big bounce",1.27,1.07
192,"big dog,big crash",1.07,1.13
193,"big dog,big door",1.27,1.27
194,"big dog,big drone",1.13,1.33
195,"big dog,big explosion",1.07,1.07
196,"big dog,big grande",1.40,1.60
197,"big dog,big machine",1.33,1.33
198,"big dog,big monster",2.33,2.67
199,"big dog,big noise",1.47,2.07
200,"big dog,big wave",1.13,1.20
201,"big drone,big bell",1.73,1.50
202,"big drone,big bounce",1.27,1.14
203,"big drone,big door",1.20,1.14
204,"big drone,big machine",2.80,2.86
205,"big drone,big wave",1.53,1.29
206,"big drum,big gong",3.27,3.47
207,"big drum,big percussion",4.53,3.60
208,"big explosion,big bell",1.47,1.33
209,"big explosion,big bounce",1.60,1.40
210,"big explosion,big door",1.07,1.13
211,"big explosion,big drone",1.53,1.27
212,"big explosion,big machine",1.47,1.47
213,"big explosion,big monster",1.40,1.33
214,"big explosion,big noise",3.93,3.93
215,"big explosion,big wave",1.80,1.67
216,"big gong,big percussion",3.73,3.53
217,"big grande,big bell",1.27,1.40
218,"big grande,big bounce",1.27,1.20
219,"big grande,big crash",1.60,1.53
220,"big grande,big door",1.20,1.20
221,"big grande,big drone",1.33,1.40
222,"big grande,big explosion",1.80,1.60
223,"big grande,big machine",1.40,1.47
224,"big grande,big monster",1.27,1.47
225,"big grande,big noise",1.53,1.73
226,"big grande,big wave",1.27,1.33
227,"big machine,big bell",1.47,1.43
228,"big machine,big bounce",1.20,1.07
229,"big machine,big door",1.60,1.36
230,"big machine,big wave",1.20,1.14
231,"big monster,big bell",1.27,1.40
232,"big monster,big bounce",1.20,1.50
233,"big monster,big door",1.27,1.14
234,"big monster,big drone",1.33,1.53
235,"big monster,big machine",1.87,1.60
236,"big monster,big wave",1.33,1.20
237,"big noise,big bell",2.80,2.73
238,"big noise,big bounce",1.27,1.60
239,"big noise,big door",1.20,1.53
240,"big noise,big drone",1.60,2.00
241,"big noise,big machine",1.73,2.60
242,"big noise,big monster",1.40,1.67
243,"big noise,big wave",1.47,2.07
244,"big wave,big bounce",2.27,1.79
245,"big wave,big door",1.13,1.14
246,"dark ambience,dark monster",1.47,1.73
247,"dark bass,dark chord",2.80,2.60
248,"dark bass,dark drum",2.87,2.27
249,"dark bass,dark dubstep",2.53,1.93
250,"dark blip,dark ambience",1.73,1.73
251,"dark blip,dark drone",1.53,1.53
252,"dark blip,dark monster",1.20,1.27
253,"dark blip,dark vocal",1.47,1.40
254,"dark blip,dark voice",1.40,1.40
255,"dark breath,dark ambience",1.73,1.43
256,"dark breath,dark blip",1.53,1.57
257,"dark breath,dark breath",5.00,5.00
258,"dark breath,dark drone",1.40,1.43
259,"dark breath,dark monster",1.33,1.57
260,"dark breath,dark vocal",2.40,2.57
261,"dark breath,dark voice",2.60,2.57
262,"dark chord,dark drum",1.67,1.27
263,"dark chord,dark dubstep",2.27,1.60
264,"dark drone,dark ambience",1.67,2.00
265,"dark drone,dark monster",1.27,1.53
266,"dark drone,dark vocal",1.40,1.40
267,"dark drone,dark voice",1.53,1.67
268,"dark drum,dark dubstep",2.33,2.07
269,"dark grunt,dark ambience",1.47,1.43
270,"dark grunt,dark blip",1.47,1.71
271,"dark grunt,dark breath",2.40,2.36
272,"dark grunt,dark drone",1.80,1.57
273,"dark grunt,dark monster",1.73,2.29
274,"dark grunt,dark vocal",3.80,3.79
275,"dark grunt,dark voice",3.73,3.43
276,"dark melody,dark bass",2.33,2.47
277,"dark melody,dark chord",3.47,3.13
278,"dark melody,dark drum",1.73,1.73
279,"dark melody,dark dubstep",2.20,1.80
280,"dark melody,dark melody",5.00,5.00
281,"dark melody,dark violin",2.53,2.53
282,"dark music,dark bass",2.47,2.67
283,"dark music,dark chord",3.60,3.33
284,"dark music,dark drum",2.27,2.73
285,"dark music,dark dubstep",3.00,2.60
286,"dark music,dark melody",4.60,4.47
287,"dark music,dark violin",2.67,2.67
288,"dark piano,dark bass",2.13,1.87
289,"dark piano,dark chord",2.73,2.60
290,"dark piano,dark drum",1.93,1.80
291,"dark piano,dark dubstep",1.53,1.20
292,"dark piano,dark melody",2.73,2.87
293,"dark piano,dark music",2.53,2.93
294,"dark piano,dark violin",2.13,2.07
295,"dark violin,dark bass",2.33,2.13
296,"dark violin,dark chord",2.93,2.80
297,"dark violin,dark drum",1.60,1.33
298,"dark violin,dark dubstep",1.53,1.13
299,"dark vocal,dark ambience",1.80,1.93
300,"dark vocal,dark monster",1.67,1.80
301,"dark vocal,dark vocal",5.00,5.00
302,"dark vocal,dark voice",4.80,4.80
303,"dark voice,dark ambience",1.93,1.87
304,"dark voice,dark monster",1.67,1.87
305,"deep audio,deep noise",4.07,3.80
306,"deep audio,deep spaceship",1.13,1.73
307,"deep bass,deep chorus",2.07,2.00
308,"deep bass,deep drum",2.60,2.67
309,"deep bass,deep dubstep",2.27,2.40
310,"deep bass,deep music",2.67,3.00
311,"deep bass,deep percussion",2.93,2.13
312,"deep bass,deep tune",2.13,2.80
313,"deep beat,deep bass",3.47,2.47
314,"deep beat,deep beat",5.00,5.00
315,"deep beat,deep chorus",2.53,2.53
316,"deep beat,deep drum",3.47,3.67
317,"deep beat,deep dubstep",3.00,2.93
318,"deep beat,deep music",3.80,3.27
319,"deep beat,deep percussion",3.60,2.93
320,"deep beat,deep tune",3.33,2.87
321,"deep breath,deep audio",1.93,1.93
322,"deep breath,deep drone",1.20,1.13
323,"deep breath,deep growl",2.87,2.27
324,"deep breath,deep noise",2.47,2.27
325,"deep breath,deep spaceship",1.00,1.00
326,"deep breath,deep voice",2.73,2.33
327,"deep chorus,deep dubstep",1.67,1.67
328,"deep chorus,deep percussion",1.73,1.60
329,"deep chorus,deep tune",3.20,3.27
330,"deep drone,deep audio",2.13,1.80
331,"deep drone,deep drone",4.73,5.00
332,"deep drone,deep growl",1.53,1.33
333,"deep drone,deep noise",2.33,2.60
334,"deep drone,deep spaceship",2.40,2.67
335,"deep drone,deep voice",1.53,1.40
336,"deep drum,deep chorus",1.87,1.93
337,"deep drum,deep dubstep",2.33,2.47
338,"deep drum,deep music",2.20,2.60
339,"deep drum,deep percussion",3.87,3.60
340,"deep drum,deep tune",1.80,2.40
341,"deep growl,deep audio",2.73,2.60
342,"deep growl,deep noise",3.80,3.60
343,"deep growl,deep spaceship",1.07,1.13
344,"deep growl,deep voice",3.80,2.87
345,"deep music,deep chorus",3.27,3.67
346,"deep music,deep dubstep",2.67,2.60
347,"deep music,deep percussion",2.40,2.33
348,"deep music,deep tune",4.40,4.13
349,"deep noise,deep spaceship",1.13,1.80
350,"deep percussion,deep dubstep",2.67,1.87
351,"deep tune,deep dubstep",2.87,2.33
352,"deep tune,deep percussion",2.27,2.07
353,"deep vocal,deep audio",3.53,3.40
354,"deep vocal,deep breath",2.47,2.47
355,"deep vocal,deep drone",1.67,1.53
356,"deep vocal,deep growl",3.73,3.13
357,"deep vocal,deep noise",3.67,3.53
358,"deep vocal,deep spaceship",1.00,1.00
359,"deep vocal,deep vocal",5.00,5.00
360,"deep vocal,deep voice",4.87,4.27
361,"deep voice,deep audio",3.40,3.20
362,"deep voice,deep noise",3.60,3.20
363,"deep voice,deep spaceship",1.00,1.07
364,"deep voice,deep voice",5.00,5.00
365,"digital alarm,digital buzz",3.13,3.50
366,"digital alarm,digital door",1.47,1.57
367,"digital bass,digital chord",2.60,2.53
368,"digital bass,digital percussion",3.13,1.80
369,"digital beep,digital alarm",4.13,4.21
370,"digital beep,digital buzz",3.73,3.43
371,"digital beep,digital door",1.13,1.29
372,"digital bell,digital alarm",4.20,3.43
373,"digital bell,digital beep",3.27,2.64
374,"digital bell,digital buzz",3.07,2.57
375,"digital bell,digital door",1.67,1.43
376,"digital bell,digital noise",3.27,3.14
377,"digital bell,digital phone",1.87,2.07
378,"digital bell,digital resonance",2.80,2.50
379,"digital bell,digital voice",1.93,1.86
380,"digital buzz,digital door",1.47,1.50
381,"digital crash,digital alarm",1.93,1.86
382,"digital crash,digital beep",2.00,1.79
383,"digital crash,digital bell",1.47,1.87
384,"digital crash,digital buzz",2.07,1.71
385,"digital crash,digital crash",5.00,5.00
386,"digital crash,digital door",1.33,1.21
387,"digital crash,digital drone",1.53,1.73
388,"digital crash,digital glitch",3.27,1.93
389,"digital crash,digital noise",3.33,3.00
390,"digital crash,digital phone",1.27,1.47
391,"digital crash,digital radio",1.27,1.67
392,"digital crash,digital resonance",2.00,1.71
393,"digital crash,digital robot",1.47,1.60
394,"digital crash,digital voice",1.27,1.67
395,"digital drone,digital alarm",2.33,1.93
396,"digital drone,digital beep",2.27,2.20
397,"digital drone,digital bell",2.13,1.73
398,"digital drone,digital buzz",2.40,2.73
399,"digital drone,digital door",1.07,1.13
400,"digital drone,digital noise",2.40,2.67
401,"digital drone,digital phone",2.00,1.73
402,"digital drone,digital radio",2.36,1.60
403,"digital drone,digital resonance",2.20,2.40
404,"digital drone,digital voice",1.80,1.73
405,"digital glitch,digital alarm",1.87,2.36
406,"digital glitch,digital beep",2.33,2.79
407,"digital glitch,digital bell",1.40,1.50
408,"digital glitch,digital buzz",2.07,2.57
409,"digital glitch,digital door",1.07,1.29
410,"digital glitch,digital drone",1.53,1.64
411,"digital glitch,digital glitch",5.00,5.00
412,"digital glitch,digital noise",2.20,2.57
413,"digital glitch,digital phone",1.40,1.71
414,"digital glitch,digital radio",1.20,1.43
415,"digital glitch,digital resonance",1.80,1.79
416,"digital glitch,digital robot",1.33,1.64
417,"digital glitch,digital voice",1.47,1.71
418,"digital music,digital bass",3.33,2.53
419,"digital music,digital chord",3.67,3.07
420,"digital music,digital percussion",3.00,2.07
421,"digital noise,digital alarm",3.93,3.43
422,"digital noise,digital beep",3.93,3.71
423,"digital noise,digital buzz",4.00,3.79
424,"digital noise,digital door",1.20,1.14
425,"digital percussion,digital chord",2.07,1.47
426,"digital phone,digital alarm",2.47,2.40
427,"digital phone,digital beep",2.07,2.43
428,"digital phone,digital buzz",1.60,2.33
429,"digital phone,digital door",1.53,1.47
430,"digital phone,digital noise",2.00,1.86
431,"digital phone,digital resonance",1.53,1.57
432,"digital phone,digital voice",2.33,1.79
433,"digital radio,digital alarm",2.87,2.64
434,"digital radio,digital beep",2.27,2.29
435,"digital radio,digital bell",2.13,1.80
436,"digital radio,digital buzz",1.93,2.00
437,"digital radio,digital door",1.40,1.57
438,"digital radio,digital noise",2.33,3.00
439,"digital radio,digital phone",3.07,2.71
440,"digital radio,digital resonance",2.07,2.36
441,"digital radio,digital voice",2.20,2.64
442,"digital resonance,digital alarm",2.73,2.00
443,"digital resonance,digital beep",2.60,2.21
444,"digital resonance,digital buzz",3.40,2.79
445,"digital resonance,digital door",1.13,1.14
446,"digital resonance,digital noise",3.07,2.67
447,"digital robot,digital alarm",1.79,1.60
448,"digital robot,digital beep",1.64,2.33
449,"digital robot,digital bell",1.14,1.73
450,"digital robot,digital buzz",1.43,1.80
451,"digital robot,digital door",1.36,1.27
452,"digital robot,digital drone",3.33,3.29
453,"digital robot,digital noise",1.29,1.87
454,"digital robot,digital phone",1.79,1.73
455,"digital robot,digital radio",2.33,1.93
456,"digital robot,digital resonance",1.29,1.67
457,"digital robot,digital robot",5.00,5.00
458,"digital robot,digital voice",1.43,2.33
459,"digital voice,digital alarm",2.00,1.93
460,"digital voice,digital beep",2.13,1.80
461,"digital voice,digital buzz",2.20,1.67
462,"digital voice,digital door",1.20,1.20
463,"digital voice,digital noise",3.13,3.33
464,"digital voice,digital resonance",2.00,2.40
465,"distant bird,distant blast",1.07,1.20
466,"distant bird,distant bomb",1.07,1.53
467,"distant bird,distant bombing",1.14,1.13
468,"distant bird,distant door",1.00,1.20
469,"distant bird,distant explosion",1.07,1.27
470,"distant bird,distant firework",1.29,1.33
471,"distant bird,distant gun",1.07,1.40
472,"distant bird,distant gunshot",1.07,1.13
473,"distant bird,distant horn",1.13,1.40
474,"distant bird,distant monster",1.67,1.53
475,"distant bird,distant noise",1.40,1.60
476,"distant bird,distant thunder",1.36,1.27
477,"distant bird,distant traffic",1.20,1.43
478,"distant bird,distant train",1.20,1.27
479,"distant blast,distant blast",5.00,5.00
480,"distant blast,distant bombing",4.33,4.29
481,"distant blast,distant door",1.13,1.21
482,"distant blast,distant explosion",4.87,4.86
483,"distant blast,distant firework",4.13,3.79
484,"distant blast,distant gunshot",4.33,4.07
485,"distant blast,distant horn",3.00,2.53
486,"distant blast,distant noise",3.73,3.64
487,"distant blast,distant thunder",3.60,2.93
488,"distant blast,distant train",1.73,1.64
489,"distant bomb,distant blast",4.47,4.60
490,"distant bomb,distant bomb",5.00,5.00
491,"distant bomb,distant bombing",4.93,4.93
492,"distant bomb,distant door",1.13,1.14
493,"distant bomb,distant explosion",4.80,4.71
494,"distant bomb,distant firework",3.53,3.57
495,"distant bomb,distant gun",2.67,2.60
496,"distant bomb,distant gunshot",3.53,3.21
497,"distant bomb,distant horn",2.33,1.80
498,"distant bomb,distant monster",1.20,1.33
499,"distant bomb,distant noise",3.00,3.21
500,"distant bomb,distant thunder",2.87,2.79
501,"distant bomb,distant train",1.53,1.64
502,"distant car,distant bird",1.60,1.57
503,"distant car,distant blast",1.47,1.50
504,"distant car,distant bomb",1.47,1.43
505,"distant car,distant bombing",1.20,1.43
506,"distant car,distant door",1.87,1.71
507,"distant car,distant explosion",1.60,1.43
508,"distant car,distant firework",1.40,1.43
509,"distant car,distant gun",1.53,1.36
510,"distant car,distant gunshot",1.27,1.43
511,"distant car,distant horn",2.60,3.07
512,"distant car,distant monster",1.33,1.36
513,"distant car,distant noise",2.00,2.07
514,"distant car,distant thunder",1.40,1.43
515,"distant car,distant traffic",3.47,3.50
516,"distant car,distant train",3.87,3.07
517,"distant dog,distant bird",2.86,2.07
518,"distant dog,distant blast",1.13,1.20
519,"distant dog,distant bomb",1.21,1.27
520,"distant dog,distant bombing",1.20,1.43
521,"distant dog,distant car",1.21,1.47
522,"distant dog,distant door",1.13,1.27
523,"distant dog,distant echo",1.29,1.67
524,"distant dog,distant explosion",1.07,1.13
525,"distant dog,distant firework",1.20,1.27
526,"distant dog,distant gun",1.20,1.47
527,"distant dog,distant gunshot",1.13,1.33
528,"distant dog,distant horn",1.40,1.33
529,"distant dog,distant monster",2.00,1.67
530,"distant dog,distant noise",1.60,2.20
531,"distant dog,distant thunder",1.20,1.33
532,"distant dog,distant traffic",1.21,1.33
533,"distant dog,distant train",1.53,1.40
534,"distant dog,distant voice",1.43,1.93
535,"distant door,distant bombing",1.13,1.20
536,"distant door,distant door",5.00,5.00
537,"distant door,distant firework",1.27,1.27
538,"distant door,distant noise",1.00,1.80
539,"distant door,distant thunder",1.20,1.27
540,"distant door,distant train",1.40,1.20
541,"distant echo,distant bird",1.27,1.14
542,"distant echo,distant blast",2.20,2.13
543,"distant echo,distant bomb",1.80,2.00
544,"distant echo,distant bombing",2.13,1.86
545,"distant echo,distant car",1.40,1.36
546,"distant echo,distant door",1.20,1.33
547,"distant echo,distant explosion",2.20,2.07
548,"distant echo,distant firework",1.93,1.93
549,"distant echo,distant gun",1.53,1.60
550,"distant echo,distant gunshot",2.33,2.13
551,"distant echo,distant horn",2.20,1.93
552,"distant echo,distant monster",1.20,1.40
553,"distant echo,distant noise",3.73,2.80
554,"distant echo,distant thunder",2.60,2.29
555,"distant echo,distant traffic",1.73,1.87
556,"distant echo,distant train",2.00,1.71
557,"distant explosion,distant bombing",4.47,4.67
558,"distant explosion,distant door",1.20,1.21
559,"distant explosion,distant explosion",5.00,5.00
560,"distant explosion,distant firework",4.47,4.07
561,"distant explosion,distant gunshot",3.73,3.57
562,"distant explosion,distant noise",3.80,3.79
563,"distant explosion,distant thunder",3.47,3.47
564,"distant explosion,distant train",1.33,1.64
565,"distant firework,distant bombing",3.33,3.31
566,"distant firework,distant thunder",2.47,3.08
567,"distant gun,distant blast",3.27,3.79
568,"distant gun,distant bombing",3.07,2.73
569,"distant gun,distant door",1.33,1.40
570,"distant gun,distant explosion",3.20,3.07
571,"distant gun,distant firework",2.60,3.27
572,"distant gun,distant gun",5.00,5.00
573,"distant gun,distant gunshot",4.33,4.87
574,"distant gun,distant horn",2.13,2.00
575,"distant gun,distant noise",2.67,3.00
576,"distant gun,distant thunder",2.27,2.47
577,"distant gun,distant train",1.67,1.80
578,"distant gunshot,distant bombing",3.00,3.00
579,"distant gunshot,distant door",1.07,1.40
580,"distant gunshot,distant firework",3.07,2.80
581,"distant gunshot,distant noise",2.67,2.93
582,"distant gunshot,distant thunder",2.53,2.60
583,"distant gunshot,distant train",1.27,1.47
584,"distant horn,distant bombing",1.67,1.71
585,"distant horn,distant door",1.47,1.36
586,"distant horn,distant explosion",2.27,1.93
587,"distant horn,distant firework",2.07,1.64
588,"distant horn,distant gunshot",2.40,1.64
589,"distant horn,distant horn",5.00,5.00
590,"distant horn,distant noise",3.67,3.64
591,"distant horn,distant thunder",2.27,1.86
592,"distant horn,distant train",2.53,2.64
593,"distant monster,distant blast",1.20,1.36
594,"distant monster,distant bombing",1.67,1.21
595,"distant monster,distant door",1.27,1.00
596,"distant monster,distant explosion",1.40,1.29
597,"distant monster,distant firework",1.40,1.21
598,"distant monster,distant gun",1.27,1.43
599,"distant monster,distant gunshot",1.27,1.14
600,"distant monster,distant horn",1.20,1.21
601,"distant monster,distant monster",5.00,5.00
602,"distant monster,distant noise",1.60,1.79
603,"distant monster,distant thunder",1.40,1.57
604,"distant monster,distant train",1.40,1.07
605,"distant noise,distant bombing",2.93,2.80
606,"distant noise,distant firework",2.73,2.80
607,"distant noise,distant thunder",3.53,3.27
608,"distant noise,distant train",2.07,2.40
609,"distant rain,distant bird",1.20,1.21
610,"distant rain,distant blast",1.20,1.40
611,"distant rain,distant bomb",1.20,1.27
612,"distant rain,distant bombing",1.43,1.27
613,"distant rain,distant car",1.13,1.21
614,"distant rain,distant dog",1.13,1.43
615,"distant rain,distant door",1.00,1.27
616,"distant rain,distant echo",1.40,1.64
617,"distant rain,distant explosion",1.20,1.33
618,"distant rain,distant firework",1.36,1.67
619,"distant rain,distant gun",1.07,1.27
620,"distant rain,distant gunshot",1.13,1.33
621,"distant rain,distant horn",1.07,1.33
622,"distant rain,distant monster",1.07,1.27
623,"distant rain,distant noise",1.53,2.07
624,"distant rain,distant thunder",3.57,3.13
625,"distant rain,distant traffic",1.13,1.36
626,"distant rain,distant train",1.13,1.27
627,"distant rain,distant voice",1.13,1.29
628,"distant thunder,distant bombing",2.73,2.92
629,"distant traffic,distant blast",1.29,1.73
630,"distant traffic,distant bomb",1.36,1.60
631,"distant traffic,distant bombing",1.53,1.40
632,"distant traffic,distant door",1.27,1.27
633,"distant traffic,distant explosion",1.21,1.40
634,"distant traffic,distant firework",1.53,1.60
635,"distant traffic,distant gun",1.21,1.80
636,"distant traffic,distant gunshot",1.21,1.60
637,"distant traffic,distant horn",2.21,3.47
638,"distant traffic,distant monster",1.21,1.20
639,"distant traffic,distant noise",2.33,2.73
640,"distant traffic,distant thunder",1.67,1.67
641,"distant traffic,distant traffic",5.00,5.00
642,"distant traffic,distant train",2.67,2.53
643,"distant train,distant bombing",1.20,1.23
644,"distant train,distant firework",1.47,1.73
645,"distant train,distant thunder",1.60,2.07
646,"distant voice,distant bird",1.53,1.64
647,"distant voice,distant blast",1.47,1.36
648,"distant voice,distant bomb",1.47,1.43
649,"distant voice,distant bombing",1.40,1.07
650,"distant voice,distant car",1.47,1.50
651,"distant voice,distant door",1.13,1.21
652,"distant voice,distant echo",2.93,2.79
653,"distant voice,distant explosion",1.80,1.36
654,"distant voice,distant firework",1.53,1.07
655,"distant voice,distant gun",1.33,1.36
656,"distant voice,distant gunshot",1.73,1.21
657,"distant voice,distant horn",1.87,1.64
658,"distant voice,distant monster",1.27,1.50
659,"distant voice,distant noise",3.27,2.93
